record_type,defect_class,combo_index,seed_index,canonical_hash,poscar_file,extxyz_file,distance_filter_passed,distance_filter_reason,removed_indices,canonical_removed_indices,removed_species,removed_frac_coords,vacancy_topology,n_removed_total,supercell_scaling,perturb_radius_A,max_random_displacement_A,perturbed_atom_indices,migration_target_family,migration_target_points_A,path_index,path_fraction,image_index,migration_source_indices,migration_vacancy_indices,saddle_sign
base,Mg1,1,,af202117df2c3a60,POSCAR_Mg1_base0001.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",,,[],,,,,,,,
path_start,Mg1,1,,af202117df2c3a60,POSCAR_Mg1_base0001_direct_path0001_pimg000.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",,,[],direct,[],1,0.0,,[1],[0],1
path_start_seed,Mg1,1,1,af202117df2c3a60,POSCAR_Mg1_base0001_direct_path0001_pimg000_seed001.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",4.0,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",direct,[],1,0.0,0,[1],[0],1
path_start_seed,Mg1,1,2,af202117df2c3a60,POSCAR_Mg1_base0001_direct_path0001_pimg000_seed002.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",4.0,0.08571428571428572,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",direct,[],1,0.0,0,[1],[0],1
path_start_seed,Mg1,1,3,af202117df2c3a60,POSCAR_Mg1_base0001_direct_path0001_pimg000_seed003.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",4.0,0.12142857142857143,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",direct,[],1,0.0,0,[1],[0],1
path_start_seed,Mg1,1,4,af202117df2c3a60,POSCAR_Mg1_base0001_direct_path0001_pimg000_seed004.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",4.0,0.15714285714285714,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",direct,[],1,0.0,0,[1],[0],1
path_start_seed,Mg1,1,5,af202117df2c3a60,POSCAR_Mg1_base0001_direct_path0001_pimg000_seed005.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",4.0,0.19285714285714284,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",direct,[],1,0.0,0,[1],[0],1
path_start_seed,Mg1,1,6,af202117df2c3a60,POSCAR_Mg1_base0001_direct_path0001_pimg000_seed006.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",4.0,0.22857142857142854,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",direct,[],1,0.0,0,[1],[0],1
path_start_seed,Mg1,1,7,af202117df2c3a60,POSCAR_Mg1_base0001_direct_path0001_pimg000_seed007.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",4.0,0.2642857142857143,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",direct,[],1,0.0,0,[1],[0],1
path_start_seed,Mg1,1,8,af202117df2c3a60,POSCAR_Mg1_base0001_direct_path0001_pimg000_seed008.vasp,,True,,[0],[0],['Mg'],"[[0.25, 0.25, 0.25]]",single,1,"[1, 1, 1]",4.0,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",direct,[],1,0.0,0,[1],[0],1
